Country,Species,Count
AUSTRALIA,Blacktip Shark,4
AUSTRALIA,Blue Shark,1
AUSTRALIA,Bronze Shark,31
AUSTRALIA,Bull Shark,34
AUSTRALIA,Hammerhead Shark,2
AUSTRALIA,Lemon Shark,4
AUSTRALIA,Mako Shark,2
AUSTRALIA,Nurse Shark,10
AUSTRALIA,Raggedtooth Shark,1
AUSTRALIA,Tiger Shark,15
AUSTRALIA,White Shark,100
AUSTRALIA,Wobbegong shark,13
NEW ZEALAND,Blue Shark,1
NEW ZEALAND,Bronze Shark,6
NEW ZEALAND,Mako Shark,3
NEW ZEALAND,Tiger Shark,1
NEW ZEALAND,White Shark,10
SOUTH AFRICA,Blacktip Shark,4
SOUTH AFRICA,Blue Shark,2
SOUTH AFRICA,Bull Shark,3
SOUTH AFRICA,Mako Shark,1
SOUTH AFRICA,Raggedtooth Shark,15
SOUTH AFRICA,Tiger Shark,6
SOUTH AFRICA,White Shark,50
USA,Blacktip Shark,69
USA,Blue Shark,2
USA,Bull Shark,66
USA,Hammerhead Shark,7
USA,Lemon Shark,9
USA,Mako Shark,6
USA,Nurse Shark,21
USA,Tiger Shark,88
USA,White Shark,99
