Country,Year,Count
AUSTRALIA,2000,8
AUSTRALIA,2001,5
AUSTRALIA,2002,4
AUSTRALIA,2003,4
AUSTRALIA,2004,7
AUSTRALIA,2005,11
AUSTRALIA,2006,8
AUSTRALIA,2007,3
AUSTRALIA,2008,9
AUSTRALIA,2009,11
AUSTRALIA,2010,6
AUSTRALIA,2011,7
AUSTRALIA,2012,14
AUSTRALIA,2013,11
AUSTRALIA,2014,11
AUSTRALIA,2015,14
AUSTRALIA,2016,9
AUSTRALIA,2017,9
AUSTRALIA,2018,11
AUSTRALIA,2019,6
AUSTRALIA,2020,14
AUSTRALIA,2021,12
AUSTRALIA,2022,10
AUSTRALIA,2023,10
AUSTRALIA,2024,3
NEW ZEALAND,2000,1
NEW ZEALAND,2001,1
NEW ZEALAND,2003,1
NEW ZEALAND,2004,1
NEW ZEALAND,2005,2
NEW ZEALAND,2007,1
NEW ZEALAND,2008,1
NEW ZEALAND,2009,1
NEW ZEALAND,2010,1
NEW ZEALAND,2011,1
NEW ZEALAND,2013,2
NEW ZEALAND,2016,1
NEW ZEALAND,2018,3
NEW ZEALAND,2019,1
NEW ZEALAND,2020,2
NEW ZEALAND,2023,1
SOUTH AFRICA,2000,2
SOUTH AFRICA,2001,3
SOUTH AFRICA,2002,2
SOUTH AFRICA,2003,3
SOUTH AFRICA,2004,8
SOUTH AFRICA,2005,4
SOUTH AFRICA,2006,7
SOUTH AFRICA,2007,2
SOUTH AFRICA,2008,5
SOUTH AFRICA,2009,5
SOUTH AFRICA,2010,2
SOUTH AFRICA,2011,5
SOUTH AFRICA,2012,3
SOUTH AFRICA,2013,5
SOUTH AFRICA,2014,2
SOUTH AFRICA,2015,8
SOUTH AFRICA,2016,3
SOUTH AFRICA,2017,2
SOUTH AFRICA,2018,4
SOUTH AFRICA,2019,2
SOUTH AFRICA,2021,1
SOUTH AFRICA,2022,2
SOUTH AFRICA,2024,1
USA,2000,17
USA,2001,14
USA,2002,16
USA,2003,4
USA,2004,12
USA,2005,17
USA,2006,14
USA,2007,18
USA,2008,10
USA,2009,11
USA,2010,11
USA,2011,11
USA,2012,19
USA,2013,21
USA,2014,20
USA,2015,27
USA,2016,17
USA,2017,17
USA,2018,16
USA,2019,17
USA,2020,18
USA,2021,11
USA,2022,18
USA,2023,10
USA,2024,1
